基金會名稱,董事長姓名,聯絡人,基金會會址,聯絡電話,Email
財團法人天成雙德社會福利基金會,張 育 美,許玲瑜,桃園市龜山區華亞二路268號,3973345#11807,tiffany.hsu@ichia.com
財團法人桃園市有愛社會福利慈善基金會,黃國明,鄧小姐,桃園市中壢區延平路151之1號,4629292#28876,fin13@tcmg.com.tw
財團法人桃園市真善美社會福利基金會,謝秀琴,羅素杏,桃園市龜山區精忠村 31鄰 長峰路116號 ,03-3597188#808,su8007@yahoo.com.tw
財團法人桃園縣美好社會福利基金會,余玉嬋,梁先生,桃園市中壢區龍川九街28號,4561455#263,v4561231@ms31.hinet.net
財團法人桃園市樹仁基金會,李崇仁,潘小姐,桃園市龍潭區高平村5鄰崁頂5號,4718695#44,merry.house@msa.hinet.net
財團法人桃園市淳?宏善基金會,釋宗倫,姜美桂,桃園市平鎮區金陵路7段269號,4605225,sujenfoundation@gmail.com
財團法人桃園縣中壢媽祖慈善文教基金會,范振修,羅小姐,桃園市桃園區三元街407巷50號,4918111#121,hongshansi2005@yahoo.com.tw
財團法人達成慈善基金會,陳達成,邱明禮,桃園市中壢區建國路100號,4288907,nn520999@yahoo.com.tw
財團法人桃園市善水慈善文教基金會,干靜瑤,閩宇經,桃園市中壢區後寮里20鄰後興路2段160巷90號,4288907,gro4581380@yahoo.com.tw  
財團法人桃園縣大發運行慈善基金會,汪賜發,黃正華,桃園市中壢區環中東路770號6樓 ,2722786,sst2722786@gmail.com
財團法人桃園縣范國泰慈善基金會,范娟華,蔡小姐,桃園市龜山區民生北路一段576號7樓,2228129,y0003@yzcpa.com.tw
財團法人桃園市藍迪基金會,李雪櫻,葉阿真,桃園市平鎮區義興里光復路46號,035-992217,hua8876@gmail.com
財團法人桃園縣福島健康慈善基金會,林哲藝,李小姐,桃園市大園區溪海村12鄰下溪洲仔34-5號 ,3866550,cocolee3018@gmail.com
財團法人桃園市優勝地社會福利基金會,白崇亮,蔡小姐,桃園市桃園區泰成路62巷39號2樓 ,03-3325648  ,lili9548@hotmail.com
財團法人桃園市樂福社會福利基金會,楊盛進,羅先生,桃園市桃園區中平路98號3樓之3,02-25418098,berdy8520@hotmail.com
財團法人桃園縣全方位恩典社會福利基金會,蘇信志,吳美蘭,桃園市平鎮區中豐路南勢二段535巷10號,03-4395352,
財團法人桃園縣悅齡社會福利慈善基金會,錢王金足,,桃園市龍潭區佳安西路4巷97號2樓,02-2775-1523,
財團法人桃園市無塵社會福利慈善事業基金會,江祝維,高先生,桃園市興華一街398號,02-27607312,
財團法人桃園市菩提社會福利基金會,李傳鈞,王姿諭,桃園市八德區青溪三街23巷5號1樓,02-26710209,
財團法人腦性麻痺基金會,黃春賢,王建麗,桃園市八德區忠勇街424巷46號,03-3712333,
財團法人桃園縣啟新社福會,,黃春賢,桃園市桃園區中正路915號6樓之4,03-3013876,addingline@gmail.com
財團法人桃園市德修宮慈善文教基金會,黃正園,,桃園市平鎮區延平路2段123號,,
財團法人葉仁奏公慈善基金會,葉阿真,廖萬全,桃園市龜山區山頂里29鄰明興街221巷19弄28號3樓,03-3010708,
財團法人吳許原住民衛福基金會,吳清彥,葉阿真,桃園市平鎮區光復路46號,03-4936270,
財團法人桃園市梅鶴山莊林登雲紀念文教社會福利慈善事業基金會,林?達,卡娃。立媚,桃園市中壢區志廣路119號,03-4283512,
財團法人桃園市幸福社會福利基金會 ,張安邦,張安邦,桃園市中壢區金鋒街31巷2弄8號,03-4651757,
財團法人桃園市萬靈福德祠社會福利慈善事業基金會,黃水源,黃彥儒,桃園市中壢區龍清街225號3樓,0932-363919,
財團法人桃園市私立德盛社福基金會,呂金樹,張燕偉,桃園市觀音區上大里4鄰49號,0933-170578,
