"編號","財團法人名稱","區別","行政區域","住址","電話"
26,"財團法人中華基督教長老會桃園教會","平鎮區",68000100,"平鎮區平東路239巷120弄11號","(03)4508801"
27,"財團法人桃園縣基督教聖經教會","中壢區",68000020,"中壢區新生路二段421號","(03)4532632"
28,"財團法人天主教嘉諾撒仁愛修女會","中壢區",68000020,"中壢區中央西路二段124號","(03)5254198"
29,"財團法人中壢教會聚會所","中壢區",68000020,"中壢區中平路88巷3號","(03)4257191"
30,"財團法人臺灣省桃園縣中華基督教中壢浸信會","中壢區",68000020,"中壢區民族路53號","(03)4934764"
31,"財團法人臺灣省桃園縣基督教中宣拓荒宣教聯會","中壢區",68000020,"中壢區內厝里2鄰內厝六路183號","(03)4264678"
32,"財團法人台灣省桃園縣龍岡清真寺","中壢區",68000020,"中壢區龍東路216號","(03)4561234"
33,"財團法人基督教聖經聖潔會","中壢區",68000020,"中壢區中山路41號2樓","(03)4268223"
34,"財團法人臺灣省桃園縣中國基督教靈糧世界佈道會中壢靈糧堂","中壢區",68000020,"中壢區杭州路71號","(03)4561011"
35,"財團法人基督教中壢錫安堂","中壢區",68000020,"中壢區協同街112號地下樓之一","(03)4566747"
36,"財團法人中華基督教浸信會迦南堂","中壢區",68000020,"中壢區前龍街21號","(03)4654732"
37,"財團法人桃園基督徒中壢禮拜堂","中壢區",68000020,"中壢區中華路一段859號三樓","(03)4614159"
38,"財團法人基督教得勝靈糧堂","中壢區",68000020,"中壢區興農路110巷6號三樓","(03)4613461"
39,"財團法人基督教國度領袖聖教會","中壢區",68000020,"中壢區中央西路二段61號","(03)4931245"
40,"財團法人基督教改革宗伯特利堂","大園區",68000060,"大園區大海里6鄰大牛稠18之36號","(03)3811065"
41,"財團法人桃園市大園教會聚會所","大園區",68000060,"大園區大海里八鄰大牛稠3之17號","(03)3811380"
42,"財團法人基督教世界歸主教會","大園區",68000060,"大園區橫峰里大仁路46號3樓","(03)3135290"
43,"財團法人臺灣省桃園縣龍潭教會聚會所","龍潭區",68000090,"龍潭區佳安里文化路1號","(03)4892893"
44,"財團法人臺灣省桃園縣基督教石門浸信會","龍潭區",68000090,"桃園市龍潭區文化路87號","(03)4712542"
45,"財團法人臺灣省桃園縣基督教石門水庫教會","龍潭區",68000090,"龍潭區佳安西路176號","(03)4711991"
46,"財團法人台灣聖民教會","龍潭區",68000090,"龍潭區百年五街47號","(03)4809581"
47,"財團法人臺灣省桃園縣龍潭基督徒聚會處","龍潭區",68000090,"龍潭區干城路120號","(03)4892783"
48,"財團法人桃園縣龍潭逸園基督教會","龍潭區",68000090,"龍潭區建林里建國路75巷12弄2號","(03)4700345"
49,"財團法人桃園縣基督教浸信會百年教會","龍潭區",68000090,"龍潭區百年路49號","(03)4993062"
50,"財團法人台灣省桃園縣耶蘇教會堂","龍潭區",68000090,"龍潭區東龍路220號","(03)4791694"
51,"財團法人桃園市八德教會聚會所","中壢區",68000020,"桃園市中壢區中平路88巷3號","(03)4257191"
52,"財團法人基督教臺灣省桃園縣大湳禮拜堂","八德區",68000080,"八德區福國北街200號","(03)3675944"
53,"財團法人台灣基督長老教會新竹中會南崁教會","蘆竹區",68000050,"蘆竹區新南路一段14巷13號","(03)3226082"
54,"財團法人台灣基督長老教會南崁大安教會","蘆竹區",68000050,"蘆竹區五福一路1之3號","(03)2120197"
55,"財團法人桃園市基督教客家神學宣教院","龍潭區",68000090,"龍潭區新原路82號","(03)4116253"
56,"財團法人桃園市基督教梅岡靈糧堂","楊梅區",68000040,"楊梅區新農街91巷8號","(03)4856828"
57,"財團法人基督教會桃園恩寵靈糧堂","蘆竹區",68000050,"蘆竹區經國路906號14樓","(03)3466167"
58,"財團法人台灣基督長老教會新竹中會中壢教會","中壢區",68000020,"桃園市中壢區延平路537號","(03)4900033"
59,"財團法人道教真極慈善基金會","龍潭區",68000090,"龍潭區忠勇街217號","(03)5811116"
60,"財團法人桃園市寺廟團體公益慈善基金會","中壢區",68000020,"桃園市中壢區延平路198號","(03)4523356"
61,"財團法人發一崇德桃園宗教發展基金會","楊梅區",68000040,"桃園市楊梅區新興街40號7樓","(03)4829911"
62,"財團法人桃園市基督教愛鄰舍基金會","中壢區",68000020,"中壢區復興路161號5樓","(03)4266770"
63,"財團法人釋迦牟尼佛活佛基金會","中壢區",68000020,"桃園市中壢區元化路二段45號B1","(03)4942783"
64,"財團法人大中華關公基金會","八德區",68000080,"桃園市八德區永福街168號","(03)3661530"
